Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2020-01-17,22.463428846588148,22.866102414940872,22.434665795754498,22.636003494262695,5454800,0.0,0,0.00425351547985664
2020-01-21,22.511366755025634,22.540129807544645,21.744370307823175,21.792306900024414,9750500,0.0,0,-0.03727233009361053
2020-01-22,21.897768790625733,22.396317377274418,20.93902235260767,21.744369506835938,8477900,0.0,0,-0.0021997392661730064
2020-01-23,21.43756912428611,22.194977795290715,21.389630709245594,22.012815475463867,7188500,0.0,0,0.012345539315064435
2020-01-24,21.907356819813202,22.099105013241488,21.619731786675175,21.91694450378418,5023600,0.0,0,-0.004355234421809739
2020-01-27,20.68016199121516,21.533445802546357,20.632225397034432,21.14035987854004,5917000,0.0,0,-0.0354330698382731
2020-01-28,21.18829580306731,21.418394719598727,20.93902151965903,20.996545791625977,5238800,0.0,0,-0.00680282113172781
2020-01-29,21.149946863620425,21.31293383857386,20.49799896380668,20.593873977661133,5450300,0.0,0,-0.019178002799176697
2020-01-30,20.315838464883544,21.437571921930214,20.248726503732136,21.4279842376709,7351100,0.0,0,0.04050283404251931
2020-01-31,21.00270971946365,21.080032094547537,20.66442363715508,20.9350528717041,5341300,0.18,0,-0.023004094108871498
2020-02-03,20.84806471450186,21.109028418537182,20.712751020636496,20.79007339477539,4837000,0.0,0,-0.006925202330139157
2020-02-04,21.089696320241742,21.30233422123181,20.490448411204166,20.596765518188477,6352300,0.0,0,-0.009298085336990392
2020-02-05,20.96404955450835,21.23467694684818,20.838399542198417,21.118694305419922,4678400,0.0,0,0.025340327672835006
2020-02-06,21.225011555352484,21.582628696319116,21.11869444061445,21.48597526550293,4529100,0.0,0,0.017391272148332915
2020-02-07,21.244341661635605,21.795263796124498,21.147688235135096,21.698612213134766,4115900,0.0,0,0.009896546235591996
2020-02-10,21.514972219362352,21.61162565184773,21.2926706151036,21.408653259277344,3184000,0.0,0,-0.013363018381512104
2020-02-11,21.73727289388056,21.824260795045692,21.369992078358415,21.39898681640625,4126700,0.0,0,-0.00045152036207152246
2020-02-12,21.669617899944825,21.8339281891382,21.176687032364715,21.418319702148438,6027900,0.0,0,0.0009034486496044547
2020-02-13,21.369992370529307,21.466643956691268,21.23467683158306,21.34099578857422,3625000,0.0,0,-0.003610176458728631
2020-02-14,21.321665180610996,21.43764966735031,21.051037784070726,21.244342803955078,2657700,0.0,0,-0.00452898194520468
2020-02-18,20.83839806623097,20.915720436210073,20.12316568304658,20.210153579711914,6982600,0.0,0,-0.04868068802065406
2020-02-19,20.40346280631766,20.442123074061268,19.97818880007238,20.113502502441406,6735100,0.0,0,-0.00478230295921811
2020-02-20,20.007183225247946,20.258479547250257,19.813876376849993,19.968521118164062,5011000,0.0,0,-0.007208161992658724
2020-02-21,19.775213933383007,19.881532882544434,19.398267613280794,19.842872619628906,5956200,0.0,0,-0.006292328700339356
2020-02-24,19.069648939284637,19.10831104947493,18.52839230119666,18.82801628112793,8661100,0.0,0,-0.05114462799590136
2020-02-25,19.030988868962226,19.040654396609526,17.938808210458973,17.996801376342773,8797800,0.0,0,-0.0441477685367373
2020-02-26,18.15144425270111,18.15144425270111,17.078594760550242,17.16558265686035,11815200,0.0,0,-0.046187025244112445
2020-02-27,16.80796768447291,17.010940082869922,16.1120662689209,16.1120662689209,10552800,0.0,0,-0.06137376219608881
2020-02-28,15.493486112692166,15.851101400734125,15.184195695275342,15.551477432250977,28759000,0.0,0,-0.03479310644043587
2020-03-02,15.841434807112247,16.614660337723144,15.358170463552286,16.59532928466797,10606600,0.0,0,0.06712235907903064
2020-03-03,16.566333734238796,16.81763190903548,15.65779630633247,15.976751327514648,9925000,0.0,0,-0.037274220146075066
2020-03-04,16.247378169881216,16.72097792225728,16.044407637510364,16.701648712158203,8520500,0.0,0,0.04537201398354118
